statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
46241;Statistics of road traffic accidents;JAHR;Year;2024;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);2157;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2023;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;ORTSLG01;Inside built-up areas;12462;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2020;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;ORTSLG03;On motorways/freeways;105462;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2015;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG03;On motorways/freeways;161096;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2020;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH;Serious acc. invol. mat.damage in the nearer sense;VEROL1;Area;;Total;58014;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2017;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG01;Inside built-up areas;1934538;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2019;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH;Serious acc. invol. mat.damage in the nearer sense;VEROL1;Area;;Total;69189;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2018;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);1937;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2024;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);492718;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2020;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;;Total;264499;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2020;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;ORTSLG03;On motorways/freeways;716;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2022;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);68691;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2017;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;;Total;2643098;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2024;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH;Serious acc. invol. mat.damage in the nearer sense;VEROL1;Area;;Total;64080;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2022;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);2231;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2021;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);495795;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2020;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);469827;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2024;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);68912;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2018;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH;Serious acc. invol. mat.damage in the nearer sense;VEROL1;Area;ORTSLG03;On motorways/freeways;10358;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2015;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;ORTSLG03;On motorways/freeways;684;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2022;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;;Total;2038418;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2021;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;ORTSLG03;On motorways/freeways;116898;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2016;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH;Serious acc. invol. mat.damage in the nearer sense;VEROL1;Area;ORTSLG03;On motorways/freeways;10806;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2021;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;;Total;13815;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2019;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG03;On motorways/freeways;177981;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2018;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG03;On motorways/freeways;175995;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2019;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;ORTSLG01;Inside built-up areas;207625;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2015;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;;Total;14732;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2015;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH;Serious acc. invol. mat.damage in the nearer sense;VEROL1;Area;;Total;68776;number;VER001;Accidents (recorded by the police);e
